Time,TU2,TU3,TU4,TU7,TU8,TU9,TU10,TU11,TU12,TU13,TU14,TU15,TU16,Wam2,Wam4,Wam5,Wam7,Wam11,Wam13,Wam15,Wam17,Wpm1,Wpm2,Wpm3,Wpm5,Wpm6,Wpm7,Wpm8,Wpm9,Wpm11,Wpm14,Wpm16,Th2,Th3,Th4,Th6,Th10,Th16,Time_1,Average,SD
67.5,73.81,72.41,72.55,72.48,73.4,61.41,75.05,75.28,68.09,72.03,68.75,74.71,65.29,64.4,71.43,72.81,68.35,64.8,70.33,72.57,66.67,73.08,73.95,67.88,61.62,56.71,76.68,59.83,76.29,63.7,69.66,73.28,73.33,75.29,81.93,65.96,74.16,72.32,67.5,70.32,5.32
71.25,90.48,86.21,82.35,86.24,92.55,56.11,91.19,87.64,84.04,95.1,90.28,85.06,82.64,91.1,87.76,96.49,84.17,65.6,83.52,87.15,69.52,89.42,94.12,74.28,84.36,76.21,91.86,79.49,88.66,82.29,76.4,86.21,76.67,81.18,83.13,75.33,78.65,91.07,71.25,83.8,8.36
75,100,87.36,96.08,100,96.81,80.32,100,100,90.43,92.31,95.14,100,96.69,96.34,46.94,78.07,,100,74.73,86.11,100,89.42,94.12,100,98.6,98.6,99.93,100,100,100,94.38,99.14,96.67,96.47,98.8,83.21,94.38,100,75,93.54,10.38
78.75,98.81,100,99.02,94.5,100,85.37,89.99,100,94.68,95.1,93.06,81.61,96.69,97.91,100,96.49,96.4,83.2,98.9,100,97.14,94.23,98.32,89.9,93.38,93.38,100,96.58,91.75,89.81,94.38,100,96.67,100,84.34,86.19,97.75,71.43,78.75,94.13,6.41
82.5,70.24,67.82,65.69,66.06,67.02,60.73,68.13,70.79,55.32,65.03,60.42,66.67,63.64,62.3,66.33,64.91,61.15,57.6,69.23,70.83,62.86,66.35,66.39,60.77,61.22,61.22,67.74,59.83,68.04,58.26,62.92,67.24,67.78,67.06,74.7,61.98,69.66,64.29,82.5,64.95,4.17
86.25,48.81,47.13,45.1,48.62,51.06,37.7,49.36,48.31,41.49,42.66,40.97,43.68,41.32,38.22,48.98,43.86,40.29,35.2,54.95,50.35,46.67,46.15,54.62,38.21,46.8,46.8,46.46,42.74,46.39,39.79,41.57,57.76,48.89,50.59,54.22,44.53,42.7,44.64,86.25,45.73,5.17
90,76.19,60.92,66.67,70.64,68.09,55.77,70.55,75.28,63.83,63.64,61.11,70.11,64.46,62.3,61.22,61.4,66.19,60.8,,69.27,68.57,64.42,63.87,65.34,64.08,64.08,68.48,,70.1,63.55,67.42,64.66,72.22,75.29,72.29,63.63,68.54,67.86,90,66.47,4.61
93.75,98.81,100,100,98.17,100,100,98.02,100,100,97.2,95.83,,95.04,95.29,,98.25,99.28,,100,97.57,99.05,100,92.44,94.36,96.48,96.48,99.73,95.73,95.88,99.22,85.39,98.28,100,98.82,100,88.71,100,,93.75,97.47,3.34
97.5,92.86,93.1,93.14,94.5,95.74,82.44,93.19,97.75,91.49,100,93.75,85.06,94.21,97.38,83.67,96.49,94.96,84,93.41,96.88,84.76,94.23,96.64,86.68,100,100,99.91,84.62,90.72,80.71,83.15,94.83,85.56,90.59,92.77,77.56,92.13,100,97.5,91.81,6.08
101.25,94.05,91.95,84.31,93.58,94.68,62.3,92.68,83.15,86.17,95.8,93.06,81.61,81.82,94.76,87.76,95.61,87.77,78.4,86.81,92.01,87.62,90.38,100,,91.38,91.38,93.25,84.62,93.81,82.33,68.54,87.07,82.22,82.35,98.8,74.29,87.64,92.86,101.25,87.75,7.96
105,76.19,77.01,79.41,79.82,74.47,62.72,79.93,80.9,74.47,74.83,69.44,79.31,75.21,71.2,75.51,71.93,69.06,73.6,81.32,78.65,78.1,48.08,57.14,69.66,70.3,70.3,53.36,49.57,68.04,73.96,77.53,62.93,83.33,82.35,84.34,68.64,78.65,73.21,105,72.49,8.84
108.75,35.71,44.83,48.04,46.79,47.87,39.91,54.38,,46.81,43.36,40.97,43.68,42.15,39.27,30.61,43.86,41.73,37.6,53.85,52.43,49.52,47.12,52.94,45.65,46.07,46.07,46.39,41.03,47.42,40.95,42.7,50.86,53.33,51.76,53.01,45.76,44.94,41.07,108.75,45.42,5.41
112.5,53.57,50.57,50.98,49.54,53.19,43.17,55.11,53.93,50,51.75,47.22,52.87,47.93,46.07,53.06,44.74,46.76,43.2,58.24,59.72,52.38,53.85,46.22,43.44,43.58,43.58,49.13,46.15,51.55,41.65,44.94,56.9,54.44,55.29,59.04,49.6,52.81,48.21,112.5,50.12,4.85
116.25,78.57,77.01,80.39,83.49,81.91,63.44,80.04,79.78,78.72,82.52,80.56,78.16,76.03,79.58,74.49,78.95,73.38,,74.73,81.6,79.05,75.96,89.08,66.4,76.31,76.31,76.32,73.5,76.29,69.99,,82.76,73.33,76.47,79.52,67.22,79.78,75.89,116.25,77.15,4.98
